entity_id,body_value
264,"
1980
Режиссёр: Эльдар Рязанов
	<br>
Действие картины происходит примерно через 20 лет после 
Отечественной войны 1812 года, в эпоху Николаевской реакции. 
Небольшой городок взбудоражен вступлением гусарского полка. 
В это время в город прибывает из Санкт-Петербурга чиновник III отделения 
граф Мерзляев (Олег Басилашвили), имеющий поручение проверить 
нескольких гусар этого полка на благонадёжность. 
В местной тюрьме сидит попавший туда за скандальный поступок 
проезжий актёр Бубенцов (Евгений Леонов), дочь которого - 
Настю (Ирина Мазуркевич) - любит подозреваемый в неблагонадёжности 
корнет Плетнёв (Станислав Садальский). 
Мерзляев привлекает Бубенцова для своей операции, заставив его разыгрывать 
роль опасного бунтовщика, которого под конвоем должен перевезти Плетнёв. 
Бубенцов настолько входит в образ, что Плетнёв из сострадания отпускает его 
на свободу, после чего на Бубенцова начинается уже настоящая охота…
	<br>трагикомедия<br>mkv"
265,"
Год выпуска: 2003
Страна: Россия
Режиссер: Сергей Тюнин
	<br>
Об одном годе жизни Владимира Маяковского, который он сам назвал веселым. Это даже не год, а три с половиной месяца, которые начались с постановки его футуристической пьесы-трагедии ""Владимир Маяковский"", продолжились в знаменитом провинциальном турне футуристов по 17 городам России и закончились написанием поэмы ""Облако в штанах""
	<br>Биографический<br>avi"
266,"
Франция
Год выпуска: 2004
Перевод: Профессиональный (двухголосый закадровый) (Перевод студии «АРК-ТВ» по заказу канала «МИНИ МУВИ»)
Cубтитры: французские (hard)
Режиссер: Сара Леви / Sarah Levy
<br>
Вам предлагается чрезвычайно экстравагантный способ изучения английского языка.
<br>
гротеск, комедия, короткий метр
<br>"
267,"
Год выпуска: 1975
Режиссер: Леонид Нечаев
<br>
На дурака не нужен нож: ему немного подпоешь — и делай с ним, что хошь!
 Деревянный человечек, которого Папа Карло выстругал из полена, получился 
веселым, дерзким, шумным и доверчивым. Лиса Алиса и Кот Базилио завели его в 
Страну Дураков, но мудрая Черепаха Тортилла помог
<br>
фэнтези, мюзикл, приключения
<br>"
268,"
Страна: Франция
Год выпуска: 2000
Перевод: Профессиональный (двухголосый закадровый) (Перевод студии «АРК-ТВ» по заказу канала «МИНИ МУВИ»)
Режиссер: Дидье Лоре / Didier Lauret
<br>
Описание: Собеседование по подбору сотрудников таит в себе подводные камни не только для претендентов на место, но и для их экзаменаторов.
<br>
комедия, черный юмор, короткий метр
<br>"
269,"
Год выпуска: 1988
Страна: Бельгия
Перевод: Субтитры
Русские субтитры: есть
Режиссер: Оливер Смолдерс / Olivier Smolders
<br>
Описание (от релизера): Обычная учительница пришла в обычную школу. Но ее ждет необычный урок. Ученики предлагают пройти ей через испытание - раздеться!
<br>
Шортс, Комедия, Эротика
<br>"
270,"
СССР, 1965
Студия: Киностудия им. А. Довженко
Создатели: Виктор Ивченко (Viktor Ivchenko)
<br>
По одноименной повести А.Толстого. Драматическая история жизни купеческой дочери, которая, став бойцом кавалерийского эскадрона Красной армии, позже не смогла найти для себя места в мирной жизни.
<br>
Драма
<br>"
271,"
 Норвегия
Год выпуска: 2002
Перевод: субтитры (софтсаб)
Cубтитры: русские (перевод мой), английские
Оригинальная аудиодорожка: норвежский
Режиссеры:
    * Мортен Тюльдум / Morten Tyldum - эпизод ""Человек в костюме"" (Консервативная партия) по сценарию Пера Шрайнера,
    * Арильд Фрёлих / Arild Frqhlich - эпизод ""Дом"" (Партия центра) по сценарию Пера Шрайнера,
    * Сара Йонсен / Sara Johnsen - эпизод ""Безграничная любовь"" (Христианская народная партия) по сценарию Хетиль Лисмоэн,
    * Ингебьорг Торгерсен / Ingebjorg Torgersen - эпизод ""Малый бизнес"" (Либеральная партия) по сценарию Марион Хаген,
    * Терье Рангнес / Terje Rangnes - эпизод ""Осторожно, дети!"" (Партия прогресса) по сценарию Эрленда Лу,
    * Магнус Мартенс / Magnus Martens - эпизод ""Сила Покемона"" (Красный избирательный альянс) по сценарию Харальда Росенлёва Ээга,
    * Мартин Аспхауг / Martin Asphaug - эпизод ""Пассажиры"" (Левая социалистическая партия) по сценарию Николая Фробениуса,
    * Ханс Петтер Моланд / Hans Petter Moland - эпизод ""Лучшие умирают первыми"" (Норвежская рабочая партия) по сценарию Эрленда Лу,
    * Томас Робсам / Thomas Robsahm - история Лассе (сквозная сюжетная линия) по сценарию Томаса Робсама.
<br>
Фильм вдохновлён программами восьми норвежских партий и снят девятью режиссёрами по сценариям шести сценаристов.
Владелец заправочной станции Лассе проводит всё своё свободное время за починкой старого биплана ""Тайгер Мот"", мечтая однажды подняться на нём в воздух. Тем временем за день до выборов вокруг его станции начинают происходить самые разные события. Мужчину, который решает оставить семью в машине, чтобы по-быстрому искупаться в лесном озере, ожидает неприятный сюрприз. Корова съедает мобильный телефон; лесбийская пара теряет ребёнка; слепая девочка и её маленький братик продают сомнительные лотерейные билеты; парень влюбляется в девушку с заправки; пожилой мужчина подбирает на дороге нахального молодого автостопщика; трём девушкам с заглохшей машиной помогает мужчина в пижаме; девять пенсионеров находят увязшую в болоте туристку.
<br>
драма, комедия
<br>"
272,"
СССР, 1966
Студия: Мосфильм
Создатели: Леонид Гайдай (Leonid Gaidai), Яков Костюковский
<br>
Кинокомедия о добром и наивном Шурике, изучающем на Кавказе старинные обряды и обычаи, о его первой и робкой любви к девушке, из-за которой очень часто оказывается в затруднительных ситуациях, потому что 'красавицу, комсомолку, спортсменку' хотят выдать замуж за ответственного чиновника.
<br>
Комедия
<br>"
273,"
СССР, 1965
Студия: Мосфильм
Создатели: Леонид Гайдай (Leonid Gaidai), Яков Костюковский, Морис Слободской
<br>
Три новеллы, объединённые фигурой главного героя — чудаковатого Шурика, попадающего в самые невероятные ситуации... В ""Напарнике"" он сражается с хулиганом Верзилой, в Наваждении весьма необычным способом готовится к экзаменам, а в Операции ""Ы"" предотвращает ""ограбление века"", на которое идет знаменитая тройка — Балбес, Трус и Бывалый...
<br>
Комедия
<br>"
274,"
СССР, 1973
Студия: Мосфильм
Создатели: Владлен Бахнов (Vladlen Bakhnov), Леонид Гайдай (Leonid Gaidai)
<br>
По мотивам пьесы Михаила Булгакова 'Иван Васильевич'.
Однажды инженер Тимофеев испытал потрясение от собственного изобретения: начала действовать машина времени, соединив его квартиру с палатами великого государя Ивана Васильевича Грозного, который хоть и горевал по роскошной жизни, однако в тоску и отчаяние не впадал. А из квартиры Тимофеева в обратном направлении исчезли пенсионер-общественник Бунша и уголовник Жорж...
<br>
Комедия
<br>"
275,"
США, 2000
Студия: 20th Century Fox
Создатели: Дэвид Финчер (David Fincher)
<br>
Джек, страдает хронической бессонницей и отчаянно пытается вырваться из мучительно скучной жизни. Именно тогда он встречает Тайлера Дердена, торговца с извращенной философией. Тайлер уверен, что самосовершенствование — удел слабых, а саморазрушение — единственное, ради чего стоит жить. И вот уже Джек и Тайлер лупят друг друга почем зря на стоянке перед баром, и очищающий мордобой доставляет им высшее блаженство. Приобщая других мужчин к простым радостям физической жестокости, Джек и Тайлер основывают тайный Бойцовский Клуб, который имеет огромный успех. Но Джека ждет шокирующее открытие, способное изменить все...
<br>
Боевик, Драма, Триллер
<br>"
276,"
США, 2004
Режиссёр:Эрик Бресс, Дж. Мэйки Грубер
Сценарий:Эрик Бресс, Дж. Мэйки Грубер
<br>
Когда семилетний Эван начинает совершать пугающие поступки, о которых он не помнит, психиатр советует парню записывать все важные события своей жизни. Спустя годы Эван просматривает свои старые дневники и с ужасом узнает о трагедиях, произошедших с ним и его друзьями. Читая записи, он внезапно оказывается в совершенно незнакомом для него прошлом, понимая, что его дневники - это своеобразная ""машина времени"", но разрозненные фрагменты случившегося остаются загадкой.
Попытки выяснить подробности событий давних лет приводят к самоубийству Кейли, с которой Эван дружил в те далекие дни, и теперь он видит лишь один способ спасти ее: перенестись с помощью своих дневников на много лет назад, чтобы исправить роковые ошибки, но, вернувшись из детства Эван обнаруживает, что жизнь его друзей с каждым разом меняется в худшую сторону. Рискуя совершить нечто неповторимое Эван вновь и вновь совершает путешествие во времени. Но сумеет ли он подарить счастливое будущее себе и тем кто ему дорог?
<br>
Приключения, Фэнтази, Фантастика, Триллер, Драма
<br>"
277,"
Россия, 2006
Режиссёр:Тимур Бекмамбетов
Сценарий:Тимур Бекмамбетов, Сергей Лукьяненко, Alexander Talal
<br>
Ночью в подъезде своего дома убита молодая женщина. На теле не обнаружено никаких следов насилия… Зыбкое равновесие между Светлыми и Темными нарушено. И чаша весов склоняется в сторону Темных. Но убитая - Темная иная, а значит подозрение падает на Светлых.
Гессер срочно собирает команду: обвинение в убийстве - серьезная проблема. Он обязан реагировать. И, прежде всего, понять кто где был и чем занимался в указанное Темными время. Выясняется, что алиби отсутствует только у Городецкого…
<br>
Триллер, Боевик, Ужасы, Фэнтази
<br>"
278,"
Россия, 2005
Студия: ТРИТЭ, Первый канал
Создатели: Джаник Файзиев (Dzhanik Faiziyev)
<br>
1877 год, русско-турецкая война. Принимавший участие в военных действиях в качестве сербского волонтера титулярный советник Эраст Фандорин пробирается в главный штаб русского командования с важным секретным сообщением. По пути он знакомится с очаровательной барышней, Варваровй Андреевной Суворовой, направляющейся в расположение русских войск, чтобы повидаться с женихом Петей Яблоковым - шифровальщиком генерального штаба.
Добравшись до своих, Фандорин сообщает генералу Соболеву о хитром фланговом маневре, задуманном турками. Из него следует, что русским надо срочно занять Плевну, ибо туда движется корпус Османа-Паши. У генерал-адъютанта Мизинова, бывшего шефа Фандорина, уже заготовлен на этот счет приказ главнокомандующего, который Петр Яблоков срочно шифрует и отправляет. К тому же у Мизинова есть для Фандорина еще одна задачка не из простых. Речь идет об Анваре-эфенди, секретаре султана Абдул-Гамида. Сей интересный турок лично возглавляет секретную операцию против русских. Господин отчаянный, с авантюрной жилкой. Вполне может сам появиться в русской ставке и сойти за ""своего"" благодаря европейской внешности и безупречному владению несколькими языками. Необходимо срочно вычислить турка. Но как? Ведь подозреваются все...
<br>
Военный, Детектив, Приключения
<br>"
279,"
СССР, 1975
Студия: Мосфильм
Создатели: Александр Бородянский (Aleksandr Borodyansky), Георгий Данелия (Georgi Daneliya)
<br>
Весело и беззаботно жил слесарь-сантехник Афанасий. Не гнушался левыми заработками, любил выпить, поволочиться за девушками. Так проходил день за днём, но однажды он встретил на танцах удивительную девушку изменившую все. Она спасла Борщова от хулиганов, а ее наивные глаза сгубили нежную душу работника труб и прокладок.<br>
Комедия
<br>"
280,"
Франция, Италия, 1967
Студия: Societe Nouvelle De Sinematographie
Создатели: Робер Энрико (Robert Enrico)
<br>
Опытный пилот Маню становится жертвой неудачной шутки и теряет свою лицензию. Раскаявшиеся шутники сообщают ему возможное местонахождение клада, и вместе с лучшим своим другом Роланом Маню отправляется на поиски. К ним прибивается молодая художница Летиция, но их путешествие, замечательно начавшееся как романтический круиз, рискует вскоре стать опаснымэ
<br>
Драма, Приключения, Триллер
<br>"
281,"
США, 1959
Студия: Metro Goldwyn Mayer Pictures
Создатели: Билли Уалдер (Billy Wilder)
<br>
Когда чикагские музыканты Джо и Джерри случайно становятся свидетелями бандитской перестрелки, они в срочном порядке смываются на поезде во Флориду, прикинувшись женщинами. Теперь они — Джозефина и Дафна, новенькие инструменталистки женского джаз-банда. До поры до времени их маскировка срабатывает. Но вскоре любвеобильная солистка западает на переодетую мужчиной Джозефину, престарелый плейбой влюбляется в Дафну, а босс мафии, разгадав тайну маскарада, решает срочно разделаться со свидетелями...
<br>
Комедия
<br>"
282,"
Россия, 2006
Режиссёр:Петр Точилин
Сценарий:Петр Точилин
<br>
Хоттабыч просидел в кувшине 3000 лет. Хакер Гена просидел за компом всю жизнь. Они бы никогда не встретились, но... Гене понадобился кувшин, с доставкой на дом. Вообще-то ему нужен был чайник, но старый кувшин показался гораздо прикольней. В жизни хакера много проблем... В общем, Хоттабыч появился вовремя. Но Гена еще не знает, что там, где возникает Хоттабыч, проблем становится еще больше...
Первая интернет-комедия про хакера Гену и джинна Хоттабыча, попавшего в наше сумасшедшее время.
<br>
Комедия, Приключения
<br>"
283,"
США, Мексика, 1984
Режиссёр:Роберт Земекис
Сценарий:Лем Доббс
<br>
Джоан Уайлдер, автор популярных женских романов, находит в своем почтовом ящике пакет из Колумбии, от своей сестры. Телефонный звонок, подтверждает самые страшные опасения - сестра похищена, и похитители требуют вернуть пакет. Забыв обо всем на свете, Джоан летит на помощь сестре, и теряется в первые часы после прилета. Ее пытаются убить, и только вмешательство Джека Колтона, американского наемника спасет девушку от гибели. Вместе их ждут экстремальные приключения в джунглях, поиск сокровищ и конечно романтическая любовная история.
<br>
Комедия, Боевик, Приключения, Мелодрама
<br>"
284,"
СССР, 1986
Режиссёр:Георгий Данелия
Сценарий:Георгий Данелия, Реваз Габриадзе
<br>
Прораб Владимир Николаевич Машков и не подозревал, что обычный путь до универсама за хлебом и макаронами обернется межгалактическими путешествиями. А все эта встреча со студентом в кроличьей шапке с большой сумкой и с каким-то маленьким устройством — «машинкой перемещения», как он ее сам называл. Короче, нажал на кнопку — и оказался вместе с молодым человеком в пустыне, и не в каких-нибудь Каракумах, а на планете-пустыне Плюк в тентуре, галактика Кин-дза-дза в спирали…
<br>
Драма, Комедия, Фантастика
<br>"
285," 
Франция, Великобритания, Канада, Бельгия, 2003
Режиссёр: Сильвен Шомэ
Сценарий: Сильвен Шомэ
<br>
Чемпион — маленький мальчик, усыновленный своей бабушкой мадам Сузой. Мадам Суза замечает, что наиболее счастливым мальчик чувствует себя верхом на велосипеде, и поэтому настаивает на том, чтобы он самым серьезным образом тренировался. Проходят годы и, наконец, Чемпион становится достойным собственного имени. Он готов участвовать во всемирно известной гонке Тур-де-Франс. Но во время соревнования двое таинственных неизвестных в черном выкрадывают Чемпиона. Мадам Суза и ее верный пес Брюно должны его освободить.
Во время поисков они оказываются за океаном в огромном мегаполисе Бельвилль и встречают известных «бельвилльских тройняшек» — трех эксцентричных звезд-певиц мюзик-холла 30-х годов. «Тройняшки» берут мадам Сузу и Брюно под свою опеку. Благодаря острому нюху Бруно храбрая пара вскоре нападает на след Чемпиона.
<br>  
Драма, Музыка, Приключения, Мультфильм
<br>"
286," 
США, 2005
Создатели: Ларри Кларк (Larry Clark)
<br>
Реальная история группы подростков из Южного Централа, катающихся на скейтбордах и слюшающих панк-рок вместо их местного хип-хопа. неугомонные ребята постоянно едут на автобусе в Беверли-Хиллз, Санта-Монику и Голливуд, где они катаются и ловят внимание богатых местных девченок, неизбежно приводя их к неприятностям с родителями, полицией и бойфрендами...
<br>  
Драма, Комедия
<br>"
287," 
США, 1998
Студия: Chinese Bookie Pictures
Создатели: Ларри Кларк (Larry Clark), Эдди Литтл (Eddie Little), Кристофер Б. Лэндон (Christopher B. Landon), Стефен Чин (Stephen Chin)
<br>
Малыш Бобби - растерянный хулиган-одиночка, из которого по всем признакам 
должен когда-нибудь получиться законченный вор. 
Мел и Сид - правонарушители со стажем, за версту чующие родную кровь.
 Они предлагают ему и его подружке Рози партнерство в крупном деле, 
обещающем большой куш. Более того, они чуть ли не играют в родителей молодой пары, 
усиливая и без того прописавшийся в лентах Кларка безмятежный цинизм.
 Дельце удается провернуть сравнительно удачно, а вот с реализацией 
награбленного начинаются неприятности. Будут и кровь, и слезы, и 
скоротечный рай, за которым тянется нескончаемый ад. 
Как всегда - никого не жалко, никого. Или уж всех сразу.
<br>  
Триллер, Драма, Криминал
<br>"
288,"
Страна: США
Режиссер: Годфри Реджио /Godfrey Reggio/
Продолжительность: 1:22, 1:35, 1:29
Год выпуска: 1983, 1988, 2002
<br>
В 1975 году бывший монах Годфри Реджио дебютировал в кино. 

человек, который провел 14 лет в молчании и молитвах, 
неожиданно пришел к идее снять фильм в абсолютно новом стиле. 
Он задумал взять образы из реальной жизни - эмоциональные, сырые, откровенные 
картины - и представить их в невербальной, нелинейной форме, создав, таким образом, 
своего рода киноконцерт, он задумал трилогию ""Каци"". В каждом из фильмов трилогии 
использован особый стиль: в первом фильме - ""Койянискаци"" - эффект ускоренного движения, 
чтобы заставить сознание воспринимать образы по-другому, во втором - ""Повакаци"" - 
замедленное движение, позволяющее сфокусировать внимание на чувственных 
особенностях живой природы.

Семь лет беспрерывных съемок и монтажа, 35 тысяч метров кинопленки – 
и совершенно новый киноязык появился на свет. Благодаря содействию 
Фрэнсиса Форда Копполы идеи Реджио были воплощены на целлулоиде. 

""Койянискаци"" с языка североамериканского индейского племени хопи переводится как 
""жизнь, потерявшая равновесие"", и это была простая, но острая тема, в картине 
раскрывалась картина урбанистического общества, движущегося 
на фантастической скорости, отдаляющегося от естественной природы и 
приближающегося к веку высоких технологий. 

""Повакаци"" переводится как ""жизнь в трансформации"". Картину представляли публике 
Джордж Лукас и Фрэнсис Форд Коппола. Для съемок режиссер отправился 
путешествовать по миру, на родину развивающихся наций, которых редко увидишь 
на экране в любом формате. В течение шести месяцев он со своей съемочной 
группой побывал в 12 странах, включая Индию, Египет, Бразилию, Перу, Кению, Непал и Нигерию.

В последней части трилогии - ""Накойкаци"", название которой означает ""жизнь как война"" - 
представляемой Стивеном Содербергом, Годфри Реджио исследует новую визуальную 
территорию, оказываясь среди образов продвинутых технологий и цифровой обработки, 
которые он называет ""возрожденными образами"". В отличие от предыдущих фильмов, 
в картине ""Накойкаци"" мало натурных съемок, вместо этого используется метод, 
названный режиссером ""образ как место действия"".

""Koyaanisqatsi "" - с языка индейцев племени хоппи - это безумная жизнь, беспорядочная жизнь, 
жизнь на грани распада, жизнь вне баланса, жизнь, требующая изменений во имя продолжения жизни...

Человек в процессе эволюции привык воспринимать окружающий мир в основном 
через звуки и образы. Фильм «Koyaanisqatsi» отмечает в этом году свой двадцатилетний 
юбилей, но до сих пор является непревзойденным шедевром по степени воздействия 
на зрителя, с первой секунды захватывая внимание непрерывным потоком видов 
Земли с высоты птичьего полета, где на наших глазах разыгрывается самая глобальная 
драма в истории человечества – конфликт технологии и природы, цивилизации и того, 
что ей предшествовало. Ядерный взрыв, рушащиеся дома, бесконечный поток людей, 
автомобилей, конвейер во всех смыслах – и пустыня. Горы. Небо…
<br>
документальный
<br>"
289," 
Год выхода: 2000
Режиссер: Питер Муни
Страна: Великобритания
Студия: Discovery Channel
<br>
 Фильм o прoтивостoянии Красной и Квантунской aрмий в горах Маньчжурии. Принятo считaть, что имeнно aтомная бoмбa надломила мoщь имперaторской Японии и положила конец всей Второй Мировой войне. Но такое мнение верно лишь отчасти. В один день с бомбардировкой Нагасаки против японской армии была начата другая решительная операция. Она станет одной из крупнейших, впечатляющих и успешных кампаний войны, когда в кратчайшие сроки была захвачена территория, равная всей западной Европе, но она же несправедливо останется одной из наименее известных для будущих поколений.
Данный фильм разделен на две части:
- в одной отражена вся подготовка к освобождению Маньчжурии, и рассказывается о предпосылках этой акции.
- во второй уже показано само наступление Советских войск
В фильме приводится много кино-хроники тех времен. Очень детализированно показано соотношение сил перед началом и в ходе наступления.
<br>  
Документальный
<br>"
290," 
Год выпуска: 1992-1994
Страна: Россия
Производство: Крупный план, Eastern light, Castle communications
Режиссеры: Александр Айзенберг, Меттью Кауфман, Максим Золотухин
Текст читал: Андрей Ярославцев
<br>
Гражданская война 1918 - 1922 гг. - один из самых драматичных этапов 
отечественной истории. О наиболее существенных событиях этой 
кровопролитной войны рассказывают в этом фильме, в котором 
использовано значительное количество малоизвестной кинохроники.
   1.      Предыстория Гражданской войны.
   2.      Начало боев. Добровольческая армия.
   3.      Создание РККА. Итоги Брестского мира.
   4.      Борьба на всех фронтах. Подавление политических мятежей.
   5.      Белый и красный террор. Продразверстка.
   6.      ""Военная оппозиция"". Европейские революции, наступление Антанты.
   7.      Широкое наступление красных. Победа над Колчаком.
   8.      Борьба с Деникиным и Юденичем.
   9.      Стабилизация военной обстановки. Война с Польшей.
  10.      Победы Красной Армии в Крыму, Туркестане, Закавказье.
  11.      Разгром Махно. X съезд партии и мятеж в Кронштадте.
  12.      НЭП. Финал и итоги Гражданской войны.
<br>  
Документальный
<br>"
292,"
Моцарт
Год выпуска: 2001
Режиссер: Jurgen Flimm
 	<br><br>
опера
	<br>avi"
293,"
Год выпуска: 2008, 2010
Страна: Россия (Телеканал ""Культура"")
Режиссеры: Сергей и Екатерина Тютины, Владимир Кудряшов, Дмитрий Леин
	<br>
Цикл посвящен малоизвестным широкой публике ""звездам русского авангарда"" 
- Илье Зданевичу, Михаилу Матюшину, Елене Гуро и Игорю Терентьеву,
Велимиру Хлебникову, Василию Каменскому, Николаю Кульбину и Алексею Крученых.
Речь идет не столько о биографиях знаменитых авангардистов, сколько 
об открытых ими эстетических системах.

Король времени. Велимир Хлебников
Автор сценария и режиссер Екатерина Тютина.
Фильм рассказывает о жизни и творчестве Велимира Хлебникова, наверное, самого гениального поэта русского авангарда. Хлебников не только писал стихи, но и пытался открыть законы времени, чтобы научить человечество управлять историей и избегать войн. Эти исследования позволили ему в 1912 году предсказать падение Российского государства в 1917 году и собственную смерть в 37 лет.

Непромокаемый оптимист. Василий Каменский
Автор сценария и режиссер Сергей Тютин.
Фильм о Василии Каменском, оригинальном поэте и организаторе знаменитого ""Кафе поэтов"" в Москве. Он очень хотел передать в стихах ощущение полёта и для этого стал одним из первых русских авиаторов. Вместе с Владимиром Маяковским и Давидом Бурлюком участвовал в легендарном футуристическом турне по городам России, которое положило начало экспансии авангарда в российскую провинцию. Театральный режиссёр Николай Евреинов считал, что Каменский разгадал секрет вечной молодости.

Дедушка русского футуризма. Николай Кульбин
Автор сценария и режиссер Сергей Тютин.
Фильм о Николае Ивановиче Кульбине, основателе петербургского авангарда, инициаторе первых выставок, лекций и диспутов русских авангардистов. Художник и меценат, он по своей основной профессии являлся главным врачом Генерального штаба Российской армии. Настоящий подвижник, он отдавал всё своё свободное время и деньги пропаганде и поддержке нового искусства в России. Такое поведение уважаемого члена общества вызывало насмешки и непонимание, за что Кульбин получил прозвище - ""Сумасшедший доктор"".

Отец зауми. Алексей Кручёных
Автор сценария и режиссер Сергей Тютин.
Фильм о поэте Алексее Кручёных, инициаторе уникальных полиграфических экспериментов. Он был одним из авторов нашумевшего литературного манифеста ""Пощёчина общественного вкуса"" и единственным поэтом в истории, который все свои книги издал сам (более 250). Кручёных произвёл в литературе такую же революцию, как Малевич в живописи.
	<br>Документальный цикл<br>avi"
294,"
1980
Режиссёр: Эльдар Рязанов
	<br>
Действие картины происходит примерно через 20 лет после 
Отечественной войны 1812 года, в эпоху Николаевской реакции. 
Небольшой городок взбудоражен вступлением гусарского полка. 
В это время в город прибывает из Санкт-Петербурга чиновник III отделения 
граф Мерзляев (Олег Басилашвили), имеющий поручение проверить 
нескольких гусар этого полка на благонадёжность. 
В местной тюрьме сидит попавший туда за скандальный поступок 
проезжий актёр Бубенцов (Евгений Леонов), дочь которого - 
Настю (Ирина Мазуркевич) - любит подозреваемый в неблагонадёжности 
корнет Плетнёв (Станислав Садальский). 
Мерзляев привлекает Бубенцова для своей операции, заставив его разыгрывать 
роль опасного бунтовщика, которого под конвоем должен перевезти Плетнёв. 
Бубенцов настолько входит в образ, что Плетнёв из сострадания отпускает его 
на свободу, после чего на Бубенцова начинается уже настоящая охота…
	<br>О бедном гусаре замолвите слово - 1 серия.mkv<br>трагикомедия<br>mkv"
295,"
Год выпуска: 2003
Страна: Россия
Режиссер: Сергей Тюнин
	<br>
Об одном годе жизни Владимира Маяковского, который он сам назвал веселым. Это даже не год, а три с половиной месяца, которые начались с постановки его футуристической пьесы-трагедии ""Владимир Маяковский"", продолжились в знаменитом провинциальном турне футуристов по 17 городам России и закончились написанием поэмы ""Облако в штанах""
	<br>Биографический<br>avi"
